line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   10.799821  3.819847  4.419521  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3453  4.419521   -9.226  1.012303  7.526908  7.1699213E-01  2.6870172E-01  2.5415308E-05  6.9158495E-06  3.8441845E-03  5.1091328E-03  2.2599635E-05  2.6192291E-08  1.8765625E-03  7.3046162E-05  1.307E-06  9.794E-05  9.262E-05  9.311E-01  1.074E+00  6.05E+02  0.00E+00  2.76E+02  0.635052  0.016856  0.0000000E+00  1.0640687068E-01       4.323     3.75   -4.7996   -2.1908   -0.9764   -0.2839   -0.1221   -0.3559   -0.1776   -0.0282   -0.7510   -2.6088
  2  5.413426196033551E+05   10.799351  3.824923  4.418951  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3452  4.418951   -9.220  0.995142  7.522316  7.0881542E-01  2.7702963E-01  3.0768755E-05  8.3491892E-06  4.8941302E-03  3.9021909E-03  2.0574401E-05  2.3245119E-08  1.8757770E-03  5.7715376E-05  3.462E-06  8.108E-05  9.808E-05  9.520E-01  1.055E+00  5.99E+02  0.00E+00  2.27E+02  0.541871  0.017056  0.0000000E+00  1.0635950399E-01       4.303     3.84   -4.8123   -2.2064   -0.9755   -0.2838   -0.1220   -0.3557   -0.1774   -0.0282   -0.7504   -2.6059
  3  1.024675436599583E+06   10.798925  3.829913  4.417349  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3436  4.417349   -9.210  0.985999  7.520190  7.0070453E-01  2.8523877E-01  3.4344585E-05  9.2877986E-06  5.5709817E-03  3.1262825E-03  1.6786987E-05  1.4675555E-08  1.8751346E-03  5.6296372E-05  4.382E-06  7.703E-05  9.786E-05  9.549E-01  1.051E+00  5.94E+02  0.00E+00  2.18E+02  0.526617  0.017254  0.0000000E+00  1.0631970692E-01       4.290     3.89   -4.8248   -2.2267   -0.9732   -0.2833   -0.1218   -0.3552   -0.1770   -0.0281   -0.7485   -2.5981
  4  1.466623153092221E+06   10.798532  3.834702  4.415933  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707437E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  4.742E-19  0.3413  4.415933   -9.201  0.979785  7.518972  6.9265011E-01  2.9336490E-01  3.7242413E-05  1.0061771E-05  6.0652932E-03  2.5592654E-03  1.3884934E-05  1.0236837E-08  1.8745570E-03  5.5694183E-05  4.808E-06  7.515E-05  9.684E-05  9.555E-01  1.050E+00  5.90E+02  0.00E+00  2.16E+02  0.523509  0.017446  0.0000000E+00  1.0628322257E-01       4.279     3.94   -4.8368   -2.2455   -0.9712   -0.2829   -0.1216   -0.3547   -0.1766   -0.0280   -0.7469   -2.5912
  5  1.904065199345199E+06   10.798122  3.839660  4.414756  7.2000000E-01  2.6595590E-01  2.2831524E-03  2.7707465E-05  6.5875804E-04  5.7184752E-03  2.2656014E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  2.208E-16  0.3394  4.414756   -9.190  0.975364  7.518317  6.8451919E-01  3.0155086E-01  3.9507098E-05  1.0673688E-05  6.4434466E-03  2.1254820E-03  1.1578439E-05  8.5191902E-09  1.8740058E-03  5.5671199E-05  4.896E-06  7.393E-05  9.580E-05  9.555E-01  1.050E+00  5.87E+02  0.00E+00  2.15E+02  0.523823  0.017649  0.0000000E+00  1.0624499733E-01       4.270     3.99   -4.8492   -2.2637   -0.9695   -0.2826   -0.1214   -0.3543   -0.1763   -0.0280   -0.7455   -2.5855
  6  2.342101249026542E+06   10.797710  3.844716  4.413794  7.2000000E-01  2.6595590E-01  2.2831517E-03  2.7707966E-05  6.5875836E-04  5.7184752E-03  2.2656027E-06  1.2899739E-05  1.8768898E-03  1.5180834E-04  8.435E-15  0.3366  4.413794   -9.177  0.972047  7.518071  6.7642781E-01  3.0968423E-01  4.1240372E-05  1.1143185E-05  6.7325331E-03  1.7938978E-03  9.7783521E-06  7.2399681E-09  1.8734987E-03  5.5712681E-05  4.801E-06  7.288E-05  9.475E-05  9.554E-01  1.050E+00  5.84E+02  0.00E+00  2.14E+02  0.524413  0.017856  0.0000000E+00  1.0620646130E-01       4.261     4.03   -4.8618   -2.2810   -0.9681   -0.2824   -0.1213   -0.3539   -0.1761   -0.0279   -0.7444   -2.5808
  7  2.772231504064759E+06   10.797290  3.849877  4.412966  7.2000000E-01  2.6595590E-01  2.2831455E-03  2.7711574E-05  6.5876211E-04  5.7184749E-03  2.2656190E-06  1.2899722E-05  1.8768898E-03  1.5180830E-04  9.703E-14  0.3346  4.412966   -9.165  0.969631  7.518094  6.6838776E-01  3.1775742E-01  4.2669312E-05  1.1528580E-05  6.9603967E-03  1.5324532E-03  8.3397556E-06  6.1527617E-09  1.8730055E-03  5.5680116E-05  4.636E-06  7.200E-05  9.395E-05  9.551E-01  1.050E+00  5.81E+02  0.00E+00  2.14E+02  0.525542  0.018071  0.0000000E+00  1.0616673235E-01       4.253     4.07   -4.8747   -2.2980   -0.9669   -0.2821   -0.1212   -0.3536   -0.1758   -0.0279   -0.7435   -2.5767
  8  3.195099115122150E+06   10.796868  3.854974  4.412216  7.2000000E-01  2.6595590E-01  2.2831147E-03  2.7726687E-05  6.5878364E-04  5.7184734E-03  2.2657126E-06  1.2899627E-05  1.8768898E-03  1.5180801E-04  5.273E-13  0.3321  4.412216   -9.152  0.967693  7.518283  6.6031058E-01  3.2586171E-01  4.3840205E-05  1.1845483E-05  7.1467449E-03  1.3186462E-03  7.1534806E-06  5.2978694E-09  1.8725267E-03  5.5690841E-05  4.446E-06  7.111E-05  9.321E-05  9.550E-01  1.051E+00  5.78E+02  0.00E+00  2.13E+02  0.526183  0.018285  0.0000000E+00  1.0612669893E-01       4.245     4.10   -4.8874   -2.3145   -0.9658   -0.2819   -0.1211   -0.3534   -0.1756   -0.0279   -0.7426   -2.5730
  9  3.619025180201471E+06   10.796433  3.860207  4.411523  7.1999994E-01  2.6595590E-01  2.2830189E-03  2.7767539E-05  6.5885820E-04  5.7184672E-03  2.2660347E-06  1.2899314E-05  1.8768898E-03  1.5180696E-04  1.702E-12  0.3300  4.411523   -9.139  0.966146  7.518600  6.5225204E-01  3.3394184E-01  4.4901072E-05  1.2134688E-05  7.2951717E-03  1.1481800E-03  6.1575937E-06  4.6172370E-09  1.8720591E-03  5.5709959E-05  4.236E-06  7.035E-05  9.246E-05  9.547E-01  1.051E+00  5.76E+02  0.00E+00  2.13E+02  0.527790  0.018508  0.0000000E+00  1.0608514472E-01       4.237     4.14   -4.9005   -2.3310   -0.9648   -0.2817   -0.1210   -0.3531   -0.1755   -0.0278   -0.7418   -2.5695
