#Original File is : C:\optica\soar 26102004\B65630.OOI
#----------------------------------------------------------- 
#Channel: Slave        Spectrometer Type: S2000
#Spec Mode:  Transmission
#Wavelength	Intensity
  644.31	   0.000
  644.64	   0.161
  644.97	   0.303
  645.31	   0.231
  645.64	   0.303
  645.98	   0.109
  646.31	   0.179
  646.64	   0.200
  646.98	   0.180
  647.31	   0.369
  647.64	   0.478
  647.98	   0.348
  648.31	   0.633
  648.64	   0.816
  648.98	   0.951
  649.31	   1.109
  649.64	   1.557
  649.98	   1.713
  650.31	   1.894
  650.64	   2.898
  650.98	   3.729
  651.31	   5.298
  651.64	   7.263
  651.98	  10.449
  652.31	  14.594
  652.64	  20.282
  652.98	  27.886
  653.31	  36.524
  653.64	  45.725
  653.97	  54.463
  654.31	  63.207
  654.64	  69.133
  654.97	  74.284
  655.30	  78.032
  655.64	  80.094
  655.97	  82.536
  656.30	  82.999
  656.63	  83.567
  656.97	  82.865
  657.30	  82.632
  657.63	  82.977
  657.96	  82.370
  658.29	  81.211
  658.63	  79.408
  658.96	  76.300
  659.29	  71.708
  659.62	  65.784
  659.95	  58.433
  660.29	  50.465
  660.62	  42.580
  660.95	  34.262
  661.28	  27.624
  661.61	  22.172
  661.94	  17.361
  662.28	  13.168
  662.61	  10.010
  662.94	   7.490
  663.27	   5.782
  663.60	   4.342
  663.93	   3.266
  664.26	   2.505
  664.60	   1.769
  664.93	   1.320
  665.26	   1.075
  665.59	   1.085
  665.92	   0.595
  666.25	   0.551
  666.58	   0.412
  666.91	   0.507
  667.24	   0.328
  667.57	   0.211
  667.91	   0.211
  668.24	   0.154
  668.57	   0.121
  668.90	   0.228
  669.23	   0.263
  669.56	   0.256
  669.89	   0.160
  670.22	   0.241
  670.55	   0.135
  670.88	   0.147
  671.21	   0.223
  671.54	   0.000
