Wavelength	QE %
2500	17.391
2600	12.168
2700	8.315
2800	7.997
2900	9.216
3000	9.764
3100	11.847
3200	14.118
3300	16.353
3400	18.710
3500	20.829
3600	24.912
3700	31.452
3800	41.532
3900	50.889
4000	58.119
4100	64.001
4200	67.846
4300	71.981
4400	75.617
4500	79.571
4600	82.941
4700	86.153
4800	89.228
4900	92.093
5000	94.864
5100	95.405
5200	96.055
5300	96.476
5400	96.885
5500	96.940
5600	97.140
5700	97.095
5800	97.010
5900	96.805
6000	96.382
6100	96.253
6200	95.923
6300	95.526
6400	95.071
6500	94.245
6600	93.989
6700	93.368
6800	92.694
6900	91.954
7000	90.857
7100	90.249
7200	89.263
7300	88.177
7400	86.977
7500	85.386
7600	84.184
7700	82.565
7800	80.791
7900	78.849
8000	76.509
8100	74.458
8200	71.986
8300	69.342
8400	66.524
8500	63.346
8600	60.418
8700	57.160
8800	53.786
8900	50.320
9000	46.643
9100	43.213
9200	39.624
9300	36.049
9400	32.519
9500	28.970
9600	25.703
9700	22.474
9800	19.402
9900	16.506
10000	13.766
10100	11.329
10200	9.025
10300	7.031
10400	5.284
10500	3.790
10600   2.5
10700   1.
10800   0.3
10900   0
11000   0
