# For U filter:      leff = l0 + k1*(u-b) + k2*(u-b)^2 + k3*(u-b)^3
# For BVRI filters:  leff = l0 + k1*(b-v) + k2*(b-v)^2 + k3*(b-v)^3
#
#filt  adj_col          ccd       l0       k1       k2      k3     sl0     sk1    sk2     sk3
u          U-B         ixon  3800.18   149.71   131.65   82.76    5.76   12.22  10.41    9.74
b          B-V         ixon  4458.92   185.22     2.13   45.29    1.73    6.04  13.79    7.36
v          B-V         ixon  5425.33   112.40   -18.01    8.61    1.37    4.79  10.93    5.83
r          B-V         ixon  6344.02   175.33   -69.14   23.92    1.62    5.65  12.90    6.88
i          B-V         ixon  8232.73   192.16  -157.06   63.59    2.20    7.69  17.57    9.37
u          U-B         ikon  3800.18   149.71   131.65   82.76    5.76   12.22  10.41    9.74
b          B-V         ikon  4458.92   185.22     2.13   45.29    1.73    6.04  13.79    7.36
v          B-V         ikon  5425.33   112.40   -18.01    8.61    1.37    4.79  10.93    5.83
r          B-V         ikon  6344.02   175.33   -69.14   23.92    1.62    5.65  12.90    6.88
i          B-V         ikon  8232.73   192.16  -157.06   63.59    2.20    7.69  17.57    9.37
u          U-B   ikon-14912  3794.54   102.07    92.45   77.40    4.74   10.05   8.56    8.01
b          B-V   ikon-14912  4419.81   173.64     4.92   30.91    1.27    4.45  10.16    5.42
v          B-V   ikon-14912  5419.49   114.12   -22.16    8.79    1.30    4.54  10.36    5.53
r          B-V   ikon-14912  6333.63   181.75   -77.08   25.95    1.54    5.39  12.30    6.56
i          B-V   ikon-14912  8101.78   182.70  -147.55   57.80    2.03    7.08  16.16    8.62
u          U-B          301  3778.52    67.85    57.86   70.01    3.82    8.09   6.89    6.45
b          B-V          301  4393.36   182.61     2.49   38.00    1.51    5.28  12.05    6.43
v          B-V          301  5398.27   131.08   -38.79   16.29    1.45    5.07  11.58    6.18
r          B-V          301  6335.69   218.68  -113.61   39.31    1.69    5.90  13.47    7.19
i          B-V          301  8175.54   205.42  -174.34   69.01    2.20    7.67  17.51    9.34
