  1  O5V    -0.71 -0.87 -0.91 -0.98
  2  O9V    -0.69 -0.83 -0.87 -0.93
  3  B0V    -0.67 -0.79 -0.83 -0.89
  4  B1V    -0.61 -0.71 -0.74 -0.79
  5  B3V    -0.46 -0.54 -0.56 -0.61
  6  B57V   -0.30 -0.35 -0.36 -0.40
  7  B8V    -0.21 -0.24 -0.24 -0.28
  8  B9V    -0.12 -0.13 -0.13 -0.16
  9  A0V     0.00  0.00  0.00  0.00
 10  A2V     0.00  0.01  0.02  0.03
 11  A3V     0.05  0.08  0.10  0.11
 12  A5V     0.30  0.36  0.38  0.40
 13  A7V     0.38  0.47  0.50  0.53
 14  F0V     0.54  0.67  0.70  0.73
 15  F2V     0.61  0.78  0.82  0.85
 16  F5V     0.83  1.06  1.10  1.14
 17  wF5V    0.78  1.01  1.05  1.09
 18  F6V     0.90  1.16  1.21  1.25
 19  rF6V    0.95  1.21  1.26  1.30
 20  F8V     1.01  1.31  1.35  1.40
 21  wF8V    0.96  1.26  1.30  1.35
 22  rF8V    1.05  1.36  1.40  1.45
 23  G0V     1.01  1.36  1.41  1.46
 24  wG0V    0.96  1.31  1.36  1.41
 25  rG0V    1.08  1.40  1.46  1.51
 26  G2V     1.09  1.41  1.46  1.51
 27  G5V     1.18  1.52  1.59  1.64
 28  wG5V    1.14  1.47  1.54  1.59
 29  rG5V    1.21  1.58  1.64  1.69
 30  G8V     1.33  1.73  1.80  1.85
 31  wK0V    1.37  1.82  1.90  1.96
 32  rK0V    1.48  2.10  2.01  2.07
 33  K2V     1.63  2.13  2.22  2.29
 34  K3V     1.78  2.32  2.42  2.50
 35  K4V     1.94  2.52  2.63  2.72
 36  K5V     2.13  2.74  2.85  2.95
 37  K7V     2.35  3.01  3.16  3.27
 38  M0V     2.81  3.48  3.65  3.79
 39  M1V     2.93  3.59  3.87  4.02
 40  M2V     3.25  3.91  4.11  4.27
 41  M2.5V   3.52  4.17  4.38  4.56
 42  M3V     3.78  4.42  4.65  4.85
 43  M4V     4.39  5.01  5.28  5.51
 44  M5V     5.22  5.84  6.17  6.46
 45  M6V     6.33  6.99  7.37  7.73
 46  B2IV   -0.6  -0.7  -0.7  -0.8
 47  B6IV   -0.3  -0.4  -0.4  -0.4
 48  A0IV    0.0   0.0   0.0   0.0
 49  A47IV   0.3   0.4   0.4   0.4
 50  F02IV   0.6   0.7   0.75  0.8
 51  F5IV    0.8   1.1   1.1   1.1
 52  F8IV    1.03  1.32  1.37  1.41
 53  G0IV    1.0   1.4   1.4   1.5
 54  G2IV    1.1   1.4   1.5   1.5
 55  G5IV    1.2   1.5   1.6   1.6
 56  G8IV    1.39  1.72  1.78  1.85
 57  K0IV    1.4   1.9   2.0   2.0
 58  K1IV    1.5   2.0   2.1   2.1
 59  K3IV    1.8   2.3   2.4   2.5
 60  O8III  -0.8  -0.8  -0.9  -0.9
 61  B12III -0.5  -0.6  -0.7  -0.8
 62  B3III  -0.5  -0.5  -0.5  -0.6
 63  B5III  -0.3  -0.4  -0.4  -0.4
 64  B9III  -0.1  -0.2  -0.2  -0.2
 65  A0III   0.0   0.0   0.0   0.0
 66  A3III   0.1   0.1   0.1   0.1
 67  A5III   0.3   0.4   0.4   0.4
 68  A7III   0.4   0.5   0.5   0.5
 69  F0III   0.5   0.7   0.7   0.7
 70  F2III   0.7   0.8   0.8   0.9
 71  F5III   0.8   1.1   1.1   1.1
 72  G0III   1.30  1.67  1.75  1.79
 73  G5III   1.53  2.02  2.10  2.15
 74  wG5III  1.45  1.9   2.0   2.05
 75  rG5III  1.6   2.1   2.2   2.25
 76  G8III   1.57  2.07  2.16  2.22
 77  wG8III  1.5   2.0   2.1   2.16
 78  K0III   1.67  2.21  2.31  2.39
 79  wK0III  1.6   2.1   2.2   2.3
 80  rK0III  1.75  2.3   2.4   2.5
 81  K1III   1.82  2.40  2.50  2.58
 82  wK1III  1.75  2.3   2.4   2.5
 83  rK1III  1.9   2.5   2.6   2.7
 84  K2III   1.95  2.58  2.70  2.79
 85  wK2III  1.9   2.5   2.6   2.7
 86  rK2III  2.05  2.7   2.8   2.9
 87  K3III   2.18  2.86  3.00  3.10
 88  wK3III  2.1   2.8   2.9   3.0
 89  rK3III  2.25  2.95  3.1   3.2
 90  K4III   2.38  3.11  3.26  3.37
 91  wK4III  2.3   3.0   3.2   3.3
 92  rK4III  2.45  3.2   3.4   3.5
 93  K5III   2.64  3.43  3.60  3.72
 94  rK5III  2.7   3.5   3.7   3.8
 95  M0III   2.82  3.63  3.83  3.98
 96  M1III   2.99  3.82  4.04  4.19
 97  M2III   3.25  4.10  4.34  4.49
 98  M3III   3.60  4.47  4.73  4.89
 99  M4III   4.07  4.96  5.24  5.43
100  M5III   4.68  5.60  5.90  6.14
101  M6III   5.52  6.45  6.80  7.11
102  M7III   6.91  7.86  8.27  8.70
103  M8III   8.84  9.81 10.32 10.93
104  M9III  11.04 12.03 12.64 13.43
105  M10III 13.65 14.65 15.31 16.28
106  B2II   -0.36 -0.40 -0.40 -0.47
107  B5II   -0.14 -0.13 -0.13 -0.11
108  F0II    0.45  0.60  0.64  0.70
109  F2II    0.52  0.70  0.75  0.81
110  G5II    1.30  1.70  1.80  1.88
111  K01II   1.70  2.08  2.20  2.30
112  K34II   2.33  3.01  3.13  3.3
113  M3II    3.74  4.36  4.60  4.93
114  B0I    -0.55 -0.59 -0.69 -0.76
115  B1I    -0.45 -0.49 -0.55 -0.62
116  B3I    -0.28 -0.31 -0.28 -0.33
117  B5I    -0.14 -0.13 -0.13 -0.11
118  B8I    -0.02  0.09  0.07  0.12
119  A0I     0.12  0.21  0.19  0.26
120  A2I     0.21  0.33  0.32  0.40
121  F0I     0.45  0.60  0.64  0.70
122  F5I     0.67  0.87  0.93  1.00
123  F8I     0.86  1.14  1.21  1.28
124  G0I     1.03  1.36  1.44  1.52
125  G2I     1.15  1.50  1.60  1.68
126  G5I     1.30  1.70  1.80  1.88
127  G8I     1.45  1.88  1.99  2.08
128  K2I     1.81  2.30  2.43  2.55
129  K3I     2.14  2.79  2.90  3.05
130  K4I     2.70  3.36  3.50  3.68
131  M2I     3.27  3.88  4.10  4.41
