  1 O5V    0.0  2.1 .05  0.0 0.0 0.0  2.4  1.1  3.0  2.5  1.3  0.0  0.0  0.0 0.86  0.0
  2 O9V    0.0  2.0 .05  0.0 0.0 0.1  3.3  1.6  3.5  2.6  2.1  0.3  0.0  0.0 0.87  0.0
  3 B0V    0.0  1.9 .05  0.0 0.1 0.0  3.3  2.4  3.5  2.7  2.4  0.5  0.0  1.9 0.89  0.0
  4 B1V    0.0  1.8 .04  0.0 0.0 0.2  4.4  3.8  4.6  3.4  3.7  0.8  0.5  1.3 0.95  0.0
  5 B3V    0.0  1.6 .04  0.0 0.3 0.3  6.1  6.0  6.7  5.3  4.7  2.5  1.9  0.7 1.01  0.0
  6 B57V   0.0  2.6 .07  0.0 0.0 0.0  9.3  8.9  9.3  5.5  7.4  4.3  0.5  5.7 1.09  0.0
  7 B8V    0.0  1.8 .04  0.0 0.0 0.3  6.0  5.2  5.2  4.8  2.1  4.6  0.0  4.4 1.20  0.0
  8 B9V    0.0  1.7 .04  0.0 0.0 0.2 10.4 10.1 10.1  6.6  6.5  2.0  0.0  6.1 1.26  0.0
  9 A0V    0.0  1.7 .04  0.0 0.5 0.5 14.7 13.9 13.4  9.8 12.1  5.7  4.7  7.0 1.41  0.0
 10 A2V    0.0  2.1 .05  0.0 0.3 0.6 14.6 14.6 14.6  9.2 11.6  4.7  2.5  3.9 1.40  0.0
 11 A3V    0.0  1.9 .04  0.0 0.8 0.6 14.0 13.8 13.6  9.3 13.9  5.6  3.9  2.4 1.42  0.0
 12 A5V    0.0  1.6 .03  0.0 0.5 0.2 12.6 12.3 12.7  8.7 13.4  3.9  3.3  6.5 1.43  0.0
 13 A7V    0.0  2.1 .05  0.0 0.8 0.7 13.3 13.2 12.6  8.0 15.0  6.2  3.4  2.4 1.50  0.0
 14 F0V    0.0  2.6 .06  0.0 1.0 0.7  9.3  9.4  9.5  6.6 15.1  5.1  4.8  0.0 1.50  0.0
 15 F2V    0.0  1.5 .03  0.0 0.5 0.8  6.4  6.5  6.2  5.2 16.1  5.4  0.0  0.0 1.44  0.0
 16 F5V    1.5  2.6 .06  0.0 0.9 0.8  3.8  3.9  4.7  3.6 18.0  4.2  1.0  0.0 1.50  0.0
 17 wF5V   1.0  2.3 .05  0.0 0.8 0.4  3.7  3.7  3.7  4.0 15.0  4.2  2.0  0.0 1.41 -0.34
