line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    3.799990  2.350532  4.186355  7.4257144E-01  2.5338650E-01  6.5232928E-04  7.9164105E-06  1.8821658E-04  1.6338501E-03  6.4731467E-07  3.6856402E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.2588  4.186355    0.000  1.642931  7.451626  7.3956407E-01  2.5636698E-01  6.6799928E-06  1.7975505E-06  1.2343137E-03  1.2921032E-03  2.0442099E-05  1.4124859E-08  5.3625424E-04  4.3373812E-05  0.000E+00  2.816E-04  2.754E-04  7.329E-01  2.117E+00  5.25E+02  0.00E+00  4.70E+02  0.983022  0.001636 -3.7025291E+00  2.1463358009E-02       4.528     1.76   -1.1263    0.5084   -0.5796   -0.1779   -0.0685   -0.2214   -0.0998   -0.0155   -0.4163   -1.6347
  2  4.764543004670497E+06    3.799985  2.354898  4.203511  7.4257144E-01  2.5338650E-01  6.5232928E-04  7.9164105E-06  1.8821658E-04  1.6338501E-03  6.4731467E-07  3.6856402E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.2590  4.203511    0.000  1.624324  7.446718  7.3139302E-01  2.6459523E-01  8.5166456E-06  2.2809391E-06  1.6280323E-03  8.4369292E-04  1.5552739E-05  8.5140255E-09  5.3625424E-04  4.3373812E-05  0.000E+00  2.352E-04  3.050E-04  8.592E-01  1.348E+00  5.21E+02  0.00E+00  3.38E+02  0.837411  0.001653  0.0000000E+00  2.1462815839E-02       4.515     1.78   -1.1372    0.6345   -0.6221   -0.1897   -0.0745   -0.2386   -0.1089   -0.0170   -0.4561   -1.7718
  3  8.844152187787170E+06    3.799985  2.359314  4.202956  7.4257140E-01  2.5338650E-01  6.5232927E-04  7.9164145E-06  1.8821658E-04  1.6338501E-03  6.4731466E-07  3.6856402E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.2579  4.202956    0.000  1.617554  7.445487  7.2325288E-01  2.7276637E-01  9.5897646E-06  2.5660645E-06  1.8394764E-03  6.0378336E-04  1.1807935E-05  5.3548879E-09  5.3625424E-04  4.3373812E-05  0.000E+00  2.273E-04  3.035E-04  8.657E-01  1.326E+00  5.18E+02  0.00E+00  3.29E+02  0.824096  0.001671  0.0000000E+00  2.1462815838E-02       4.504     1.81   -1.1483    0.6184   -0.6207   -0.1893   -0.0743   -0.2380   -0.1086   -0.0169   -0.4548   -1.7666
  4  1.248400995603833E+07    3.799985  2.363729  4.201779  7.4257140E-01  2.5338650E-01  6.5232775E-04  7.9171589E-06  1.8821762E-04  1.6338500E-03  6.4731592E-07  3.6856374E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.2558  4.201779    0.000  1.613774  7.445095  7.1523614E-01  2.8080281E-01  1.0272539E-05  2.7485680E-06  1.9739122E-03  4.5155464E-04  9.0995088E-06  4.0723268E-09  5.3625424E-04  4.3373812E-05  0.000E+00  2.237E-04  3.009E-04  8.659E-01  1.325E+00  5.15E+02  0.00E+00  3.26E+02  0.823819  0.001688  0.0000000E+00  2.1462815838E-02       4.495     1.82   -1.1593    0.5976   -0.6178   -0.1885   -0.0739   -0.2369   -0.1080   -0.0168   -0.4521   -1.7569
  5  1.614760200198560E+07    3.799985  2.368272  4.200778  7.4257121E-01  2.5338659E-01  6.5229570E-04  7.9287673E-06  1.8824483E-04  1.6338476E-03  6.4736237E-07  3.6855656E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.2541  4.200778    0.000  1.611402  7.445214  7.0718147E-01  2.8887007E-01  1.0708062E-05  2.8650829E-06  2.0600836E-03  3.5412352E-04  7.2127100E-06  3.2146018E-09  5.3625424E-04  4.3373812E-05  0.000E+00  2.209E-04  2.983E-04  8.653E-01  1.327E+00  5.13E+02  0.00E+00  3.26E+02  0.825146  0.001706  0.0000000E+00  2.1462815838E-02       4.487     1.84   -1.1707    0.5778   -0.6154   -0.1878   -0.0735   -0.2360   -0.1075   -0.0167   -0.4497   -1.7485
  6  1.978752894885988E+07    3.799985  2.372959  4.199877  7.4257055E-01  2.5338691E-01  6.5214207E-04  7.9733988E-06  1.8839236E-04  1.6338301E-03  6.4768192E-07  3.6851728E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.2524  4.199877    0.000  1.609802  7.445583  6.9914799E-01  2.9691230E-01  1.0989172E-05  2.9405988E-06  2.1196592E-03  2.8686137E-04  5.8390734E-06  2.5971745E-09  5.3625424E-04  4.3373812E-05  0.000E+00  2.187E-04  2.960E-04  8.642E-01  1.330E+00  5.10E+02  0.00E+00  3.26E+02  0.827398  0.001725  0.0000000E+00  2.1462815838E-02       4.479     1.86   -1.1824    0.5585   -0.6132   -0.1872   -0.0732   -0.2351   -0.1070   -0.0166   -0.4476   -1.7409
  7  2.347101230932013E+07    3.799985  2.377878  4.199187  7.4256867E-01  2.5338820E-01  6.5166878E-04  8.0859218E-06  1.8889142E-04  1.6337549E-03  6.4898848E-07  3.6838325E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.2502  4.199187    0.000  1.608911  7.446231  6.9096422E-01  3.0510242E-01  1.1257883E-05  3.0122884E-06  2.1624699E-03  2.3845209E-04  4.8145999E-06  2.1509676E-09  5.3625424E-04  4.3373812E-05  0.000E+00  2.166E-04  2.939E-04  8.633E-01  1.333E+00  5.08E+02  0.00E+00  3.25E+02  0.829329  0.001744  0.0000000E+00  2.1462815838E-02       4.472     1.87   -1.1947    0.5402   -0.6115   -0.1867   -0.0729   -0.2344   -0.1066   -0.0166   -0.4460   -1.7349
  8  2.706665604462183E+07    3.799985  2.382801  4.198457  7.4256455E-01  2.5339137E-01  6.5069040E-04  8.2839093E-06  1.8999025E-04  1.6335639E-03  6.5232315E-07  3.6808612E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.2486  4.198457    0.000  1.608139  7.446866  6.8291851E-01  3.1315265E-01  1.1425170E-05  3.0571724E-06  2.1931229E-03  2.0385265E-04  4.0587587E-06  1.8201876E-09  5.3625424E-04  4.3373812E-05  0.000E+00  2.146E-04  2.919E-04  8.621E-01  1.336E+00  5.06E+02  0.00E+00  3.25E+02  0.831654  0.001764  0.0000000E+00  2.1462815838E-02       4.465     1.89   -1.2070    0.5215   -0.6097   -0.1862   -0.0727   -0.2337   -0.1062   -0.0165   -0.4443   -1.7285
  9  3.059975786456870E+07    3.799985  2.387671  4.197836  7.4255688E-01  2.5339783E-01  6.4900100E-04  8.5787289E-06  1.9198461E-04  1.6331794E-03  6.5903666E-07  3.6754340E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.2466  4.197836    0.000  1.607682  7.447624  6.7486937E-01  3.2120536E-01  1.1573624E-05  3.0971502E-06  2.2171848E-03  1.7666975E-04  3.4598198E-06  1.5613859E-09  5.3625424E-04  4.3373812E-05  0.000E+00  2.127E-04  2.904E-04  8.611E-01  1.339E+00  5.04E+02  0.00E+00  3.25E+02  0.833825  0.001785  0.0000000E+00  2.1462815838E-02       4.458     1.90   -1.2192    0.5039   -0.6083   -0.1857   -0.0725   -0.2330   -0.1059   -0.0164   -0.4428   -1.7231
