Wavelength	QE %
2500	0
2600	0
2700	0
2800	0
2900	0
3000	6.2482
3100	9.2174
3200	12.129
3300	15.439
3400	19.931
3500	25.748
3600	32.694
3700	43.064
3800	55.450
3900	65.496
4000	72.476
4100	77.941
4200	80.849
4300	82.618
4400	83.743
4500	84.576
4600	85.439
4700	86.394
4800	87.323
4900	88.171
5000	88.698
5100	88.900
5200	89.248
5300	89.228
5400	89.553
5500	89.459
5600	89.702
5700	89.676
5800	89.964
5900	89.994
6000	90.249
6100	90.211
6200	90.316
6300	90.282
6400	90.134
6500	89.764
6600	89.348
6700	88.707
6800	87.952
6900	87.058
7000	85.931
7100	84.609
7200	83.024
7300	81.267
7400	79.326
7500	77.132
7600	74.724
7700	72.083
7800	69.289
7900	66.355
8000	63.245
8100	60.003
8200	56.631
8300	53.209
8400	49.758
8500	46.260
8600	42.764
8700	39.280
8800	35.868
8900	32.548
9000	29.310
9100	26.189
9200	23.193
9300	20.360
9400	17.699
9500	15.203
9600	12.892
9700	10.766
9800	8.8430
9900	7.1220
10000	5.5982
10100	4.2760
10200	3.1546
10300	2.2320
10400	1.5062
10500	0.9508
10600	0.5374
10700	0.2678
10800	0.1247
10900	0.0417
11000	0.0047
