line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    4.000000  2.397050  4.192948  7.3354283E-01  2.5841427E-01  1.3046586E-03  1.5832821E-05  3.7643316E-04  3.2677001E-03  1.2946293E-06  7.3712805E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2587  4.192948    0.000  1.565786  7.443615  7.3054070E-01  2.6128625E-01  1.1575538E-05  3.0986281E-06  2.2240008E-03  2.8595070E-03  4.8607455E-05  2.7447310E-08  1.0725085E-03  8.6747623E-05  0.000E+00  2.044E-04  1.977E-04  8.652E-01  1.332E+00  5.08E+02  0.00E+00  3.23E+02  0.825097  0.001666  0.0000000E+00  1.8825235792E-02       4.449     1.97   -1.2426    0.3870   -0.5948   -0.1820   -0.0704   -0.2283   -0.1033   -0.0160   -0.4317   -1.6296
  2  4.461324626236564E+06    4.000000  2.400177  4.194751  7.3354290E-01  2.5841427E-01  1.3046586E-03  1.5832821E-05  3.7643316E-04  3.2677001E-03  1.2946293E-06  7.3712805E-06  1.0725085E-03  8.6747624E-05  0.000E+00  0.2604  4.194751    0.000  1.548123  7.438955  7.2238930E-01  2.6952830E-01  1.4615710E-05  3.9159979E-06  2.8480082E-03  2.1484125E-03  4.1035716E-05  2.2530351E-08  1.0725085E-03  8.6747623E-05  0.000E+00  1.739E-04  2.155E-04  9.036E-01  1.220E+00  5.02E+02  0.00E+00  2.70E+02  0.729040  0.001679  0.0000000E+00  1.8825235792E-02       4.429     2.02   -1.2504    0.3921   -0.5994   -0.1832   -0.0710   -0.2300   -0.1042   -0.0162   -0.4358   -1.6426
  3  8.482939716550114E+06    4.000000  2.404561  4.193770  7.3354283E-01  2.5841427E-01  1.3046586E-03  1.5832821E-05  3.7643316E-04  3.2677001E-03  1.2946293E-06  7.3712805E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2586  4.193770    0.000  1.540069  7.437255  7.1431080E-01  2.7766252E-01  1.6470510E-05  4.4066149E-06  3.2296836E-03  1.7153806E-03  3.4396605E-05  1.6172355E-08  1.0725085E-03  8.6747623E-05  0.000E+00  1.651E-04  2.165E-04  9.106E-01  1.201E+00  4.98E+02  0.00E+00  2.58E+02  0.707273  0.001695  0.0000000E+00  1.8825235792E-02       4.417     2.05   -1.2614    0.3721   -0.5970   -0.1825   -0.0706   -0.2290   -0.1037   -0.0161   -0.4335   -1.6335
  4  1.202047587405871E+07    4.000000  2.408769  4.192453  7.3354283E-01  2.5841427E-01  1.3046586E-03  1.5832822E-05  3.7643316E-04  3.2677001E-03  1.2946293E-06  7.3712805E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2567  4.192453    0.000  1.534884  7.436353  7.0624973E-01  2.8576420E-01  1.7856307E-05  4.7760081E-06  3.5078208E-03  1.4002653E-03  2.9018673E-05  1.2850346E-08  1.0725085E-03  8.6747623E-05  0.000E+00  1.612E-04  2.148E-04  9.120E-01  1.198E+00  4.96E+02  0.00E+00  2.54E+02  0.702762  0.001712  0.0000000E+00  1.8825235792E-02       4.406     2.07   -1.2719    0.3499   -0.5938   -0.1815   -0.0702   -0.2277   -0.1030   -0.0160   -0.4304   -1.6218
  5  1.536421317660490E+07    4.000000  2.412928  4.191230  7.3354283E-01  2.5841427E-01  1.3046585E-03  1.5832893E-05  3.7643320E-04  3.2677001E-03  1.2946294E-06  7.3712803E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2550  4.191230    0.000  1.531280  7.435960  6.9826755E-01  2.9377652E-01  1.8874974E-05  5.0485311E-06  3.7141332E-03  1.1668910E-03  2.4653993E-05  1.0814353E-08  1.0725085E-03  8.6747623E-05  0.000E+00  1.586E-04  2.127E-04  9.122E-01  1.197E+00  4.92E+02  0.00E+00  2.53E+02  0.702395  0.001728  0.0000000E+00  1.8825235792E-02       4.397     2.10   -1.2823    0.3286   -0.5909   -0.1807   -0.0697   -0.2264   -0.1023   -0.0159   -0.4275   -1.6110
  6  1.868644068250758E+07    4.000000  2.417295  4.190174  7.3354283E-01  2.5841427E-01  1.3046570E-03  1.5833753E-05  3.7643400E-04  3.2677000E-03  1.2946309E-06  7.3712783E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2529  4.190174    0.000  1.528768  7.435948  6.9029830E-01  3.0176865E-01  1.9668501E-05  5.2603987E-06  3.8700017E-03  9.9073651E-04  2.1145811E-05  9.2435395E-09  1.0725085E-03  8.6747623E-05  0.000E+00  1.565E-04  2.109E-04  9.118E-01  1.198E+00  4.90E+02  0.00E+00  2.52E+02  0.703415  0.001746  0.0000000E+00  1.8825235792E-02       4.389     2.12   -1.2932    0.3083   -0.5883   -0.1799   -0.0693   -0.2253   -0.1018   -0.0158   -0.4250   -1.6015
  7  2.203492146257954E+07    4.000000  2.421711  4.189212  7.3354275E-01  2.5841427E-01  1.3046440E-03  1.5840078E-05  3.7644285E-04  3.2676997E-03  1.2946547E-06  7.3712554E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2508  4.189212    0.000  1.526705  7.436140  6.8219255E-01  3.0989230E-01  2.0267609E-05  5.4209084E-06  3.9919778E-03  8.5301336E-04  1.8302312E-05  7.9795328E-09  1.0725085E-03  8.6747623E-05  0.000E+00  1.547E-04  2.090E-04  9.114E-01  1.199E+00  4.88E+02  0.00E+00  2.51E+02  0.704680  0.001764  0.0000000E+00  1.8825235792E-02       4.381     2.14   -1.3043    0.2885   -0.5860   -0.1793   -0.0690   -0.2243   -0.1012   -0.0157   -0.4227   -1.5928
  8  2.534276840238569E+07    4.000000  2.426351  4.188378  7.3354250E-01  2.5841427E-01  1.3045913E-03  1.5861789E-05  3.7648353E-04  3.2676973E-03  1.2947897E-06  7.3711510E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2490  4.188378    0.000  1.525395  7.436524  6.7421417E-01  3.1788437E-01  2.0760368E-05  5.5531453E-06  4.0856015E-03  7.4733166E-04  1.6030911E-05  6.9916150E-09  1.0725085E-03  8.6747623E-05  0.000E+00  1.530E-04  2.075E-04  9.108E-01  1.200E+00  4.86E+02  0.00E+00  2.51E+02  0.706455  0.001783  0.0000000E+00  1.8825235792E-02       4.373     2.15   -1.3159    0.2693   -0.5840   -0.1787   -0.0687   -0.2234   -0.1008   -0.0157   -0.4207   -1.5852
  9  2.867190071262956E+07    4.000000  2.430985  4.187565  7.3354220E-01  2.5841443E-01  1.3044519E-03  1.5911212E-05  3.7660161E-04  3.2676885E-03  1.2952519E-06  7.3708446E-06  1.0725085E-03  8.6747623E-05  0.000E+00  0.2467  4.187565    0.000  1.524161  7.437011  6.6610463E-01  3.2600505E-01  2.1167531E-05  5.6622278E-06  4.1616247E-03  6.6154553E-04  1.4144363E-05  6.1728252E-09  1.0725085E-03  8.6747623E-05  0.000E+00  1.514E-04  2.058E-04  9.104E-01  1.201E+00  4.84E+02  0.00E+00  2.51E+02  0.707982  0.001802  0.0000000E+00  1.8825235792E-02       4.366     2.17   -1.3275    0.2503   -0.5821   -0.1781   -0.0684   -0.2225   -0.1003   -0.0156   -0.4188   -1.5778
