line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    7.999717  3.420288  4.360490  7.4257140E-01  2.5338650E-01  6.5232928E-04  7.9164103E-06  1.8821658E-04  1.6338501E-03  6.4731466E-07  3.6856402E-06  5.3625423E-04  4.3373812E-05  0.000E+00  0.3196  4.360490  -10.743  1.255085  7.525253  7.3956810E-01  2.5638277E-01  9.3354596E-06  2.5196145E-06  1.3541693E-03  1.1649426E-03  5.3096635E-06  7.8034925E-09  5.3625424E-04  4.3373812E-05  0.000E+00  2.115E-04  2.053E-04  7.416E-01  1.609E+00  6.13E+02  0.00E+00  5.40E+02  0.978451  0.009140 -1.8350591E+00  9.7874959406E-02       4.473     2.71   -3.8007   -1.3958   -0.8910   -0.2640   -0.1121   -0.3320   -0.1618   -0.0248   -0.6804   -2.4049
  2  9.874975482055566E+05    7.999604  3.425750  4.376441  7.4257140E-01  2.5338650E-01  6.5232928E-04  7.9164106E-06  1.8821658E-04  1.6338501E-03  6.4731466E-07  3.6856402E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3186  4.376441  -10.836  1.234382  7.519742  7.3128959E-01  2.6472573E-01  1.1959962E-05  3.2149778E-06  1.7975442E-03  6.5576352E-04  3.2953661E-06  3.2940816E-09  5.3625424E-04  4.3373812E-05  0.000E+00  1.734E-04  2.232E-04  8.655E-01  1.168E+00  6.06E+02  0.00E+00  3.85E+02  0.824750  0.009254  0.0000000E+00  9.7849010842E-02       4.455     2.77   -3.8144   -1.3352   -0.9153   -0.2706   -0.1153   -0.3397   -0.1664   -0.0261   -0.7019   -2.4792
  3  1.814510150834452E+06    7.999582  3.430793  4.375174  7.4257140E-01  2.5338650E-01  6.5232884E-04  7.9166664E-06  1.8821683E-04  1.6338500E-03  6.4731484E-07  3.6856393E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3164  4.375174  -10.821  1.227223  7.518326  7.2311907E-01  2.7292587E-01  1.3199452E-05  3.5474429E-06  2.0009374E-03  4.2228349E-04  2.1962448E-06  2.0103708E-09  5.3625424E-04  4.3373812E-05  0.000E+00  1.692E-04  2.204E-04  8.674E-01  1.165E+00  6.02E+02  0.00E+00  3.80E+02  0.820591  0.009363  0.0000000E+00  9.7846305835E-02       4.444     2.81   -3.8270   -1.3534   -0.9136   -0.2701   -0.1151   -0.3392   -0.1661   -0.0260   -0.7005   -2.4735
  4  2.626402671955853E+06    7.999559  3.435931  4.374268  7.4257137E-01  2.5338655E-01  6.5229869E-04  7.9291566E-06  1.8824135E-04  1.6338473E-03  6.4733702E-07  3.6855615E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3140  4.374268  -10.791  1.223912  7.518183  7.1504049E-01  2.8102015E-01  1.3898919E-05  3.7347617E-06  2.1085980E-03  2.9866865E-04  1.5685917E-06  1.3687816E-09  5.3625424E-04  4.3373812E-05  0.000E+00  1.671E-04  2.184E-04  8.668E-01  1.204E+00  5.99E+02  0.00E+00  3.79E+02  0.821891  0.009476  0.0000000E+00  9.7843463068E-02       4.435     2.84   -3.8398   -1.3711   -0.9122   -0.2698   -0.1149   -0.3388   -0.1658   -0.0260   -0.6993   -2.4688
  5  3.458698946014864E+06    7.999535  3.441325  4.373610  7.4257086E-01  2.5338704E-01  6.5199446E-04  8.0239651E-06  1.8853971E-04  1.6337983E-03  6.4766587E-07  3.6846545E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3117  4.373610  -10.772  1.221995  7.518534  7.0685744E-01  2.8921247E-01  1.4330010E-05  3.8505553E-06  2.1719756E-03  2.2588120E-04  1.1834517E-06  1.0146949E-09  5.3625424E-04  4.3373812E-05  0.000E+00  1.653E-04  2.168E-04  8.661E-01  1.205E+00  5.97E+02  0.00E+00  3.78E+02  0.823490  0.009595  0.0000000E+00  9.7840418310E-02       4.428     2.86   -3.8533   -1.3885   -0.9112   -0.2695   -0.1148   -0.3384   -0.1656   -0.0259   -0.6983   -2.4648
  6  4.286988324253183E+06    7.999510  3.446834  4.373066  7.4256813E-01  2.5338970E-01  6.5075239E-04  8.3323198E-06  1.8990568E-04  1.6335233E-03  6.4945097E-07  3.6805914E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3095  4.373066  -10.752  1.220723  7.519087  6.9863361E-01  2.9744232E-01  1.4608303E-05  3.9256185E-06  2.2131370E-03  1.7861442E-04  9.2952277E-07  8.1080237E-10  5.3625424E-04  4.3373812E-05  0.000E+00  1.636E-04  2.153E-04  8.651E-01  1.207E+00  5.94E+02  0.00E+00  3.78E+02  0.825381  0.009719  0.0000000E+00  9.7837225677E-02       4.421     2.88   -3.8671   -1.4057   -0.9103   -0.2693   -0.1147   -0.3382   -0.1655   -0.0258   -0.6975   -2.4614
  7  5.098676337716009E+06    7.999484  3.452235  4.372577  7.4256043E-01  2.5339726E-01  6.4786980E-04  8.9197773E-06  1.9333394E-04  1.6327435E-03  6.5448132E-07  3.6705248E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3072  4.372577  -10.733  1.219766  7.519760  6.9053723E-01  3.0554256E-01  1.4812606E-05  3.9804667E-06  2.2390634E-03  1.4879736E-04  7.6659569E-07  6.7027059E-10  5.3625424E-04  4.3373812E-05  0.000E+00  1.622E-04  2.139E-04  8.642E-01  1.208E+00  5.92E+02  0.00E+00  3.78E+02  0.827429  0.009841  0.0000000E+00  9.7833975119E-02       4.414     2.91   -3.8806   -1.4222   -0.9096   -0.2690   -0.1146   -0.3379   -0.1653   -0.0258   -0.6968   -2.4584
  8  5.914002811766845E+06    7.999457  3.457776  4.372109  7.4254455E-01  2.5341289E-01  6.4268958E-04  9.8140368E-06  1.9982582E-04  1.6311578E-03  6.6499960E-07  3.6515405E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3050  4.372109  -10.713  1.219058  7.520513  6.8235771E-01  3.1372457E-01  1.4951837E-05  4.0183980E-06  2.2562682E-03  1.2900549E-04  6.5667047E-07  5.7811150E-10  5.3625424E-04  4.3373812E-05  0.000E+00  1.607E-04  2.127E-04  8.632E-01  1.210E+00  5.90E+02  0.00E+00  3.78E+02  0.829539  0.009968  0.0000000E+00  9.7830527989E-02       4.407     2.93   -3.8944   -1.4390   -0.9088   -0.2688   -0.1145   -0.3377   -0.1652   -0.0258   -0.6962   -2.4555
  9  6.713791102468239E+06    7.999430  3.463341  4.371674  7.4251788E-01  2.5343911E-01  6.3500893E-04  1.0948234E-05  2.0983907E-04  1.6285941E-03  6.8248352E-07  3.6223371E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3029  4.371674  -10.694  1.218519  7.521322  6.7422969E-01  3.2185438E-01  1.5080003E-05  4.0523939E-06  2.2683061E-03  1.1510778E-04  5.7937388E-07  5.0689757E-10  5.3625424E-04  4.3373812E-05  0.000E+00  1.593E-04  2.115E-04  8.621E-01  1.212E+00  5.88E+02  0.00E+00  3.78E+02  0.831628  0.010097  0.0000000E+00  9.7826948193E-02       4.401     2.95   -3.9084   -1.4556   -0.9082   -0.2687   -0.1144   -0.3375   -0.1651   -0.0257   -0.6955   -2.4527
 10  7.513154366674302E+06    7.999401  3.468965  4.371235  7.4247702E-01  2.5347936E-01  6.2460383E-04  1.2278038E-05  2.2383832E-04  1.6248742E-03  7.0830246E-07  3.5814876E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.3006  4.371235  -10.674  1.218020  7.522185  6.6604865E-01  3.3003671E-01  1.5173121E-05  4.0777806E-06  2.2770001E-03  1.0506957E-04  5.2271148E-07  4.6181759E-10  5.3625424E-04  4.3373812E-05  0.000E+00  1.579E-04  2.102E-04  8.610E-01  1.214E+00  5.85E+02  0.00E+00  3.78E+02  0.833933  0.010230  0.0000000E+00  9.7823228609E-02       4.394     2.97   -3.9224   -1.4724   -0.9075   -0.2685   -0.1143   -0.3372   -0.1649   -0.0257   -0.6949   -2.4500
 11  8.295197364725129E+06    7.999372  3.474565  4.370769  7.4242187E-01  2.5353374E-01  6.1230070E-04  1.3646019E-05  2.4083530E-04  1.6202150E-03  7.4098845E-07  3.5318544E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.2987  4.370769  -10.654  1.217641  7.523042  6.5793687E-01  3.3814945E-01  1.5249984E-05  4.0989612E-06  2.2835790E-03  9.7463863E-05  4.7843564E-07  4.2631132E-10  5.3625424E-04  4.3373812E-05  0.000E+00  1.565E-04  2.091E-04  8.598E-01  1.217E+00  5.83E+02  0.00E+00  3.78E+02  0.836366  0.010364  0.0000000E+00  9.7819332708E-02       4.387     3.00   -3.9364   -1.4893   -0.9068   -0.2683   -0.1142   -0.3370   -0.1648   -0.0256   -0.6943   -2.4471
 12  9.079617189915748E+06    7.999342  3.480287  4.370382  7.4235026E-01  2.5360451E-01  5.9834036E-04  1.5004772E-05  2.6055350E-04  1.6146684E-03  7.8048099E-07  3.4742359E-06  5.3625424E-04  4.3373812E-05  0.000E+00  0.2967  4.370382  -10.633  1.217335  7.523953  6.4973506E-01  3.4635193E-01  1.5324544E-05  4.1190428E-06  2.2877157E-03  9.2637831E-05  4.5095891E-07  4.0468187E-10  5.3625424E-04  4.3373812E-05  0.000E+00  1.551E-04  2.079E-04  8.589E-01  1.218E+00  5.81E+02  0.00E+00  3.78E+02  0.838252  0.010501  0.0000000E+00  9.7815400029E-02       4.381     3.02   -3.9507   -1.5061   -0.9062   -0.2681   -0.1141   -0.3368   -0.1647   -0.0256   -0.6937   -2.4447
